公共部门,GC.DOD.TOTL.GD.ZS,中央政府债务总额（占GDP的百分比）
公共部门,GC.DOD.TOTL.CN,中央政府债务总额（现价本币单位）
公共部门,GC.TAX.IMPT.ZS,关税及其他进口税（占税收收入的百分比）
公共部门,GC.TAX.IMPT.CN,关税及其他进口税（现价本币单位）
公共部门,GC.TAX.OTHR.RV.ZS,其他税收（占财政收入的百分比）
公共部门,GC.TAX.OTHR.CN,其他税收（现价本币单位）
公共部门,MS.MIL.XPND.GD.ZS,军费支出（占GDP的百分比）
公共部门,MS.MIL.XPND.ZS,军费支出（占中央政府支出的百分比）
公共部门,MS.MIL.XPND.CN,军费支出（现价本币单位）
公共部门,GC.XPN.TOTL.GD.ZS,支出（占GDP的百分比）
公共部门,GC.XPN.TOTL.CN,支出（现价本币单位）
公共部门,GC.REV.XGRT.GD.ZS,收入_不包括捐赠（占GDP的比例）
公共部门,GC.REV.XGRT.CN,收入_不包括捐赠（按当值本国货币单位计）
公共部门,GC.TAX.TOTL.GD.ZS,税收（占国民生产总值（GDP）比例）
公共部门,GC.TAX.TOTL.CN,税收（现值本币）
基础设施,EG.ELC.NUCL.ZS,核能发电量（占总发电量的比例）
基础设施,EG.ELC.HYRO.ZS,水力发电量（占总发电电量的比例）
基础设施,EG.ELC.COAL.ZS,燃煤炭发电量（占总量的百分比）
基础设施,EG.ELC.PETR.ZS,石油发电量（占总发电量的比例）
基础设施,EG.USE.ELEC.KH.PC,耗电量（人均千瓦时）
基础设施,IS.AIR.PSGR,航空运输_客运量
基础设施,IS.AIR.GOOD.MT.K1,航空运输_货运量（百万吨-公里）
基础设施,IS.RRS.PASG.KM,铁路客运量（百万乘客-公里）
基础设施,IS.RRS.GOOD.MT.K6,铁路货运量（百万吨-公里）
教育,SE.XPD.TOTL.GB.ZS,公共教育支出总数（占政府支出的比例）
教育,SE.XPD.TOTL.GD.ZS,教育公共开支总额（占GDP的比例）
金融部门,DT.NFL.BOND.CD,债券投资（现价美元）
金融部门,FM.AST.DOMS.CN,净国内信贷（现价本币单位）
金融部门,FM.AST.NFRG.CN,净外国资产（现价本币单位）
金融部门,BX.KLT.DINV.WD.GD.ZS,外国直接投资净流入（占GDP的百分比）
金融部门,BX.KLT.DINV.CD.WD,外国直接投资净流入（现价美元）
金融部门,FM.LBL.BMNY.IR.ZS,广义货币与总储备的比率
金融部门,FM.LBL.BMNY.ZG,广义货币增长（年度百分比）
金融部门,FM.LBL.BMNY.GD.ZS,广义货币（占GDP的百分比）
金融部门,FM.LBL.BMNY.CN,广义货币（现价本币单位）
金融部门,FI.RES.TOTL.DT.ZS,总储备（占外债总额比例）
金融部门,FI.RES.TOTL.CD,总储备（按现值美元计）
金融部门,FR.INR.RISK,贷款的风险溢价（基本利率减去国库券利率）
金融部门,FB.AST.NPER.ZS,银行不良贷款与贷款总额的比率（百分比）
金融部门,FD.RES.LIQU.AS.ZS,银行流动准备金对银行资产的比率（百分比）
金融部门,FB.BNK.CAPA.ZS,银行资本对资产的比率（百分比）
经济与增长,NY.GDP.MKTP.KD.ZG,GDP增长率（年百分比）
经济与增长,NY.GDP.MKTP.KN,GDP（不变价本币单位）
经济与增长,NY.GDP.MKTP.CD,GDP（现价美元）
经济与增长,NY.GNP.MKTP.KD.ZG,GNI增长（年度百分比）
经济与增长,NY.GNP.MKTP.KN,GNI（不变价本币单位）
经济与增长,GC.DOD.TOTL.GD.ZS,中央政府债务总额（占GDP的百分比）
经济与增长,NY.GDP.PCAP.KD.ZG,人均GDP增长（年增长率）
经济与增长,NY.GDP.PCAP.KN,人均GDP（不变价本币单位）
经济与增长,NY.GNP.PCAP.KD.ZG,人均GNI增长（年增长率）
经济与增长,NY.GNP.PCAP.KN,人均GNI（不变价本币单位）
经济与增长,NE.GDI.FTOT.KN,固定资本形成总额（不变价本币单位）
经济与增长,NE.GDI.FTOT.ZS,固定资本形成总额（占GDP的百分比）
经济与增长,GC.XPN.TOTL.GD.ZS,支出（占GDP的百分比）
经济与增长,GC.REV.XGRT.GD.ZS,收入_不包括捐赠（占GDP的比例）
科学技术,SP.POP.SCIE.RD.P6,R&D研究人员（每百万人）
科学技术,IP.PAT.NRES,专利申请_非居民
科学技术,IP.PAT.RESD,专利申请量_居民
科学技术,SP.POP.TECH.RD.P6,每100万人中研发技术人员的数量
科学技术,BX.GSR.ROYL.CD,知识产权使用费_接收（现价美元）
科学技术,BM.GSR.ROYL.CD,知识产权使用费_支付（现价美元）
科学技术,GB.XPD.RSDV.GD.ZS,研发支出（占GDP的比例）
科学技术,IP.JRN.ARTC.SC,科技期刊文章
科学技术,TX.VAL.TECH.MF.ZS,高科技出口（占制成品出口的百分比）
科学技术,TX.VAL.TECH.CD,高科技出口（现价美元）
能源与矿产,EG.GDP.PUSE.KO.PP,GDP单位能源使用量（购买力平价美元千克石油当量）
能源与矿产,EG.USE.PCAP.KG.OE,能源使用量(人均千克石油当量）
能源与矿产,EG.IMP.CONS.ZS,能源净进口（占能源使用量的百分比）
农业与农村发展,AG.PRD.CROP.XD,作物生产指数（2014-2016=100）
农业与农村发展,NV.AGR.TOTL.ZS,农业增加值（占GDP的百分比）
农业与农村发展,NV.AGR.TOTL.CD,农业增加值（现价美元）
农业与农村发展,AG.LND.AGRI.K2,农业用地面积（平方公里）
农业与农村发展,AG.LND.AGRI.ZS,农业用地（占土地面积的百分比）
农业与农村发展,AG.SRF.TOTL.K2,国土面积（平方千米）
农业与农村发展,AG.LND.TOTL.K2,土地面积（平方公里）
