一级指标编码,一级指标中文名称,二级指标编码,二级指标中文名称,三级指标编码,三级指标中文名称,四级指标编码,四级指标中文名称
A01,国民经济指标,A0105,三大需求对国内生产总值增长的贡献率,A010506,货物和服务净出口对国内生产总值增长贡献率_累计值,,
A01,国民经济指标,A0106,三次产业贡献率,A010601,第一产业对GDP的贡献率,,
A01,国民经济指标,A0106,三次产业贡献率,A010602,第二产业对GDP的贡献率,,
A01,国民经济指标,A0106,三次产业贡献率,A010603,第三产业对GDP的贡献率,,
A01,国民经济指标,A0107,三次产业构成,A010701,三次产业构成-国内生产总值,,
A01,国民经济指标,A0107,三次产业构成,A010702,三次产业构成-第一产业增加值,,
A01,国民经济指标,A0107,三次产业构成,A010703,三次产业构成-第二产业增加值,,
A01,国民经济指标,A0107,三次产业构成,A010704,三次产业构成-第三产业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010801,国内生产总值,,
A01,国民经济指标,A0108,分行业增加值,A010802,农林牧渔业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010803,工业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010804,建筑业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010805,批发和零售业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010806,交通运输、仓储和邮政业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010807,住宿和餐饮业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010808,金融业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010809,房地产业增加值,,
A01,国民经济指标,A0108,分行业增加值,A010810,其他行业增加值,,
A01,国民经济指标,A0109,货币供应量,A010901,货币和准货币(M2)供应量_期末值,,
A01,国民经济指标,A0109,货币供应量,A010902,货币和准货币(M2)供应量_同比增长,,
A01,国民经济指标,A0109,货币供应量,A010903,货币(M1)供应量_期末值,,
A01,国民经济指标,A0109,货币供应量,A010904,货币(M1)供应量_同比增长,,
A01,国民经济指标,A0109,货币供应量,A010905,流通中现金(M0)供应量_期末值,,
A01,国民经济指标,A0109,货币供应量,A010906,流通中现金(M0)供应量_同比增长,,
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100101,居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100102,食品烟酒类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100103,衣着类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100104,居住类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100105,生活用品及服务类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100106,交通和通信类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100107,教育文化和娱乐类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100108,医疗保健类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100109,其他用品和服务类居民消费价格指数(上年同月=100)
A01,国民经济指标,A0110,价格指数,A011001,全国居民消费价格分类指数(上年同月=100),A01100110,食品类居民消费价格指数(上年同月=100)
