A01,国民经济指标,A0103,国内生产总值指数,A010322,住宿和餐饮业增加值指数(上年同期=100)_累计值,A01032201,住宿和餐饮业增加值指数(上年同期=100)_累计值,A0103022
A01,国民经济指标,A0103,国内生产总值指数,A010323,金融业增加值指数(上年同期=100)_当季值,A01032301,金融业增加值指数(上年同期=100)_当季值,A0103023
A01,国民经济指标,A0103,国内生产总值指数,A010324,金融业增加值指数(上年同期=100)_累计值,A01032401,金融业增加值指数(上年同期=100)_累计值,A0103024
A01,国民经济指标,A0103,国内生产总值指数,A010325,房地产业增加值指数(上年同期=100)_当季值,A01032501,房地产业增加值指数(上年同期=100)_当季值,A0103025
A01,国民经济指标,A0103,国内生产总值指数,A010326,房地产业增加值指数(上年同期=100)_累计值,A01032601,房地产业增加值指数(上年同期=100)_累计值,A0103026
A01,国民经济指标,A0103,国内生产总值指数,A010327,信息传输、软件和信息技术服务业增加值指数(上年同期=100)_当季值,A01032701,信息传输、软件和信息技术服务业增加值指数(上年同期=100)_当季值,A0103027
A01,国民经济指标,A0103,国内生产总值指数,A010328,信息传输、软件和信息技术服务业增加值指数(上年同期=100)_累计值,A01032801,信息传输、软件和信息技术服务业增加值指数(上年同期=100)_累计值,A0103028
A01,国民经济指标,A0103,国内生产总值指数,A010329,租赁和商务服务业增加值指数(上年同期=100)_当季值,A01032901,租赁和商务服务业增加值指数(上年同期=100)_当季值,A0103029
A01,国民经济指标,A0103,国内生产总值指数,A010330,租赁和商务服务业增加值指数(上年同期=100)_累计值,A01033001,租赁和商务服务业增加值指数(上年同期=100)_累计值,A0103030
A01,国民经济指标,A0103,国内生产总值指数,A010331,其他行业增加值指数(上年同期=100)_当季值,A01033101,其他行业增加值指数(上年同期=100)_当季值,A0103031
A01,国民经济指标,A0103,国内生产总值指数,A010332,其他行业增加值指数(上年同期=100)_累计值,A01033201,其他行业增加值指数(上年同期=100)_累计值,A0103032
A01,国民经济指标,A0103,国内生产总值指数,A010333,国内生产总值指数(上年=100),A010333001,国民总收入指数(上年=100),A0103033001
A01,国民经济指标,A0103,国内生产总值指数,A010333,国内生产总值指数(上年=100),A010333002,国内生产总值指数(上年=100),A0103033002
A01,国民经济指标,A0103,国内生产总值指数,A010333,国内生产总值指数(上年=100),A010333003,第一产业增加值指数(上年=100),A0103033003
A01,国民经济指标,A0103,国内生产总值指数,A010333,国内生产总值指数(上年=100),A010333004,第二产业增加值指数(上年=100),A0103033004
A01,国民经济指标,A0103,国内生产总值指数,A010333,国内生产总值指数(上年=100),A010333005,第三产业增加值指数(上年=100),A0103033005
A01,国民经济指标,A0103,国内生产总值指数,A010333,国内生产总值指数(上年=100),A010333006,人均国内生产总值指数(上年=100),A0103033006
A01,国民经济指标,A0103,国内生产总值指数,A010334,国内生产总值指数(1978年=100),A01033401,国民总收入指数(1978年=100),A0103034001
A01,国民经济指标,A0103,国内生产总值指数,A010334,国内生产总值指数(1978年=100),A01033402,国内生产总值指数(1978年=100),A0103034002
A01,国民经济指标,A0103,国内生产总值指数,A010334,国内生产总值指数(1978年=100),A01033403,第一产业增加值指数(1978年=100),A0103034003
A01,国民经济指标,A0103,国内生产总值指数,A010334,国内生产总值指数(1978年=100),A01033404,第二产业增加值指数(1978年=100),A0103034004
A01,国民经济指标,A0103,国内生产总值指数,A010334,国内生产总值指数(1978年=100),A01033405,第三产业增加值指数(1978年=100),A0103034005
A01,国民经济指标,A0103,国内生产总值指数,A010334,国内生产总值指数(1978年=100),A01033406,人均国内生产总值指数(1978年=100),A0103034006
A01,国民经济指标,A0104,国内生产总值环比增长速度,A010401,国内生产总值环比增长速度,A01040101,国内生产总值环比增长速度,A0104001
A01,国民经济指标,A0105,三大需求对国内生产总值增长的贡献率,A010501,最终消费支出对国内生产总值增长贡献率_当季值,A01050101,最终消费支出对国内生产总值增长贡献率_当季值,A0105001
A01,国民经济指标,A0105,三大需求对国内生产总值增长的贡献率,A010502,最终消费支出对国内生产总值增长贡献率_累计值,A01050201,最终消费支出对国内生产总值增长贡献率_累计值,A0105002
A01,国民经济指标,A0105,三大需求对国内生产总值增长的贡献率,A010503,资本形成总额对国内生产总值增长贡献率_当季值,A01050301,资本形成总额对国内生产总值增长贡献率_当季值,A0105003
A01,国民经济指标,A0105,三大需求对国内生产总值增长的贡献率,A010504,资本形成总额对国内生产总值增长贡献率_累计值,A01050401,资本形成总额对国内生产总值增长贡献率_累计值,A0105004
A01,国民经济指标,A0105,三大需求对国内生产总值增长的贡献率,A010505,货物和服务净出口对国内生产总值增长贡献率_当季值,A01050501,货物和服务净出口对国内生产总值增长贡献率_当季值,A0105005
A01,国民经济指标,A0105,三大需求对国内生产总值增长的贡献率,A010506,货物和服务净出口对国内生产总值增长贡献率_累计值,A01050601,货物和服务净出口对国内生产总值增长贡献率_累计值,A0105006
A01,国民经济指标,A0106,三次产业贡献率,A010601,第一产业对GDP的贡献率,A01060101,第一产业对GDP的贡献率,A0106010
A01,国民经济指标,A0106,三次产业贡献率,A010602,第二产业对GDP的贡献率,A01060201,第二产业对GDP的贡献率,A0106011
A01,国民经济指标,A0106,三次产业贡献率,A010603,第三产业对GDP的贡献率,A01060301,第三产业对GDP的贡献率,A0106012
A01,国民经济指标,A0107,三次产业构成,A010701,三次产业构成-国内生产总值,A01070101,三次产业构成-国内生产总值,A0109001
A01,国民经济指标,A0107,三次产业构成,A010702,三次产业构成-第一产业增加值,A01070201,三次产业构成-第一产业增加值,A0109002
A01,国民经济指标,A0107,三次产业构成,A010703,三次产业构成-第二产业增加值,A01070301,三次产业构成-第二产业增加值,A0109003
A01,国民经济指标,A0107,三次产业构成,A010704,三次产业构成-第三产业增加值,A01070401,三次产业构成-第三产业增加值,A0109004
A01,国民经济指标,A0108,分行业增加值,A010801,国内生产总值,A01080101,国内生产总值,A0108002
A01,国民经济指标,A0108,分行业增加值,A010802,农林牧渔业增加值,A01080201,农林牧渔业增加值,A0110002
